id,amount,category,description,date
EXP000425,403.92,Entertainment,Expense 425 - Groceries,2023-06-30
EXP000426,203.5,Entertainment,Expense 426 - Lunch,2023-10-10
EXP000427,497.96,Healthcare,Expense 427 - Electricity,2023-11-04
EXP000428,287.8,Entertainment,Expense 428 - Books,2023-04-24
EXP000429,312.82,Shopping,Expense 429 - Movie,2023-08-23
EXP000430,363.74,Travel,Expense 430 - Lunch,2023-01-18
EXP000431,198.19,Food,Expense 431 - Groceries,2023-03-21
EXP000432,136.6,Food,Expense 432 - Books,2023-09-20
EXP000433,184.41,Entertainment,Expense 433 - Electricity,2023-03-17
EXP000434,62.52,Healthcare,Expense 434 - Lunch,2023-07-27
EXP000435,213.43,Transportation,Expense 435 - Movie,2023-03-30
EXP000436,204.3,Entertainment,Expense 436 - Electricity,2023-09-29
EXP000437,58.26,Healthcare,Expense 437 - Lunch,2023-10-29
EXP000438,86.23,Entertainment,Expense 438 - Movie,2023-03-13
EXP000439,92.69,Transportation,Expense 439 - Electricity,2023-11-05
EXP000440,9.69,Transportation,Expense 440 - Electricity,2023-04-14
EXP000441,281.73,Travel,Expense 441 - Flight,2023-05-02
EXP000442,239.83,Healthcare,Expense 442 - Electricity,2023-04-19
EXP000443,392.95,Travel,Expense 443 - Lunch,2023-09-17
EXP000444,461.01,Travel,Expense 444 - Lunch,2023-05-22
EXP000445,476.39,Healthcare,Expense 445 - Books,2023-05-27
EXP000446,474.4,Entertainment,Expense 446 - Books,2023-07-07
EXP000447,491.08,Education,Expense 447 - Groceries,2023-07-25
EXP000448,494.33,Bills,Expense 448 - Medicine,2023-03-29
EXP000449,283.07,Travel,Expense 449 - Groceries,2023-05-14
EXP000450,416.03,Bills,Expense 450 - Gas,2023-07-15
EXP000451,10.12,Transportation,Expense 451 - Movie,2023-05-17
EXP000452,286.54,Healthcare,Expense 452 - Movie,2023-03-06
EXP000453,150.95,Entertainment,Expense 453 - Flight,2023-10-15
EXP000454,111.77,Healthcare,Expense 454 - Books,2023-08-04
EXP000455,496.69,Travel,Expense 455 - Lunch,2023-12-01
EXP000456,438.34,Shopping,Expense 456 - Medicine,2023-10-29
EXP000457,144.06,Transportation,Expense 457 - Movie,2023-09-20
EXP000458,159.17,Transportation,Expense 458 - Medicine,2023-01-14
EXP000459,486.57,Education,Expense 459 - Medicine,2023-10-06
EXP000460,402.89,Shopping,Expense 460 - Flight,2023-09-19
EXP000461,391.12,Bills,Expense 461 - Lunch,2023-04-27
EXP000462,126.92,Shopping,Expense 462 - Movie,2023-07-02
EXP000463,13.41,Healthcare,Expense 463 - Groceries,2023-11-03
EXP000464,283.13,Travel,Expense 464 - Gas,2023-12-11
EXP000465,270.42,Entertainment,Expense 465 - Flight,2023-12-04
EXP000466,395.19,Transportation,Expense 466 - Lunch,2023-04-10
EXP000467,489.24,Transportation,Expense 467 - Movie,2023-01-11
EXP000468,366.3,Transportation,Expense 468 - Movie,2023-04-30
EXP000469,191.26,Transportation,Expense 469 - Medicine,2023-03-20
EXP000470,32.52,Shopping,Expense 470 - Flight,2023-07-20
EXP000471,109.74,Bills,Expense 471 - Medicine,2023-01-10
EXP000472,359.34,Shopping,Expense 472 - Medicine,2023-04-02
EXP000473,145.81,Healthcare,Expense 473 - Electricity,2023-05-30
EXP000474,447.07,Food,Expense 474 - Movie,2023-07-19
EXP000475,274.42,Shopping,Expense 475 - Lunch,2023-09-12
EXP000476,54.14,Healthcare,Expense 476 - Flight,2023-05-08
EXP000477,169.23,Food,Expense 477 - Electricity,2023-11-15
EXP000478,297.07,Bills,Expense 478 - Medicine,2023-04-13
EXP000479,414.39,Bills,Expense 479 - Lunch,2023-10-19
EXP000480,141.34,Healthcare,Expense 480 - Groceries,2023-04-05
EXP000481,197.23,Education,Expense 481 - Medicine,2023-08-13
EXP000482,190.44,Healthcare,Expense 482 - Flight,2023-11-15
EXP000483,242.19,Shopping,Expense 483 - Electricity,2023-01-04
EXP000484,406.86,Entertainment,Expense 484 - Lunch,2023-09-09
EXP000485,329.57,Travel,Expense 485 - Medicine,2023-06-04
EXP000486,151.21,Education,Expense 486 - Books,2023-12-23
EXP000487,364.33,Transportation,Expense 487 - Movie,2023-11-01
EXP000488,352.78,Healthcare,Expense 488 - Flight,2023-04-08
EXP000489,344.69,Transportation,Expense 489 - Movie,2023-05-26
EXP000490,159.08,Food,Expense 490 - Books,2023-01-08
EXP000491,48.49,Transportation,Expense 491 - Flight,2023-10-24
EXP000492,97.92,Transportation,Expense 492 - Flight,2023-06-10
EXP000493,225.29,Entertainment,Expense 493 - Gas,2023-03-04
EXP000494,444.13,Travel,Expense 494 - Electricity,2023-04-14
EXP000495,29.48,Food,Expense 495 - Flight,2023-04-27
EXP000496,358.07,Education,Expense 496 - Medicine,2023-06-03
EXP000497,493.09,Bills,Expense 497 - Gas,2023-10-15
EXP000498,79.96,Travel,Expense 498 - Gas,2023-08-25
EXP000499,97.86,Food,Expense 499 - Books,2023-06-02
